address,symbol,name,decimals,tokenType
0x0880164084017b8d49baa0a33f545ad55914e9fd,DTI,Donald Trump Inu,9,ERC20
0x3819f64f282bf135d62168c1e513280daf905e06,HDRN,Hedron,9,ERC20
0xe3b9cfb8ea8a4f1279fbc28d3e15b4d2d86f18a0,FOTTIE,Fottie,9,ERC20
0x5888641e3e6cbea6d84ba81edb217bd691d3be38,BOBO,Bobo,9,ERC20
0x892a6f9df0147e5f079b0993f486f9aca3c87881,xFUND,unification.com/xfund,9,ERC20
0x8390a1da07e376ef7add4be859ba74fb83aa02d5,GROK,GROK,9,ERC20
0xaee9ba9ce49fe810417a36408e34d9962b653e78,SNIBBU,Snibbu,9,ERC20
0xac3e018457b222d93114458476f3e3416abbe38f,sfrxETH,Staked Frax Ether,18,ERC20
0x111111111117dc0aa78b770fa6a738034120c302,1INCH,1INCH Token,18,ERC20
0x48c3399719b582dd63eb5aadf12a40b4c3f52fa2,SWISE,StakeWise,18,ERC20
0xaaaaaa20d9e0e2461697782ef11675f668207961,AURORA,Aurora,18,ERC20
0xc221b7e65ffc80de234bbb6667abdd46593d34f0,wCFG,Wrapped Centrifuge,18,ERC20
0xcc08086af6458e8de650629fd706206764ac9eeb,ZOGZ,ZOGZ,18,ERC20
0xe41d2489571d322189246dafa5ebde1f4699f498,ZRX,0x Protocol Token,18,ERC20
0x57f5e098cad7a3d1eed53991d4d66c45c9af7812,wUSDM,Wrapped Mountain Protocol USD,18,ERC20
0x8afe4055ebc86bd2afb3940c0095c9aca511d852,AIUS,Arbius,18,ERC20
0x64bc2ca1be492be7185faa2c8835d9b824c8a194,BIGTIME,Big Time,18,ERC20
0x0000000000ca73a6df4c58b84c5b4b847fe8ff39,ASTX,Asterix,18,ERC20
0x4e352cf164e64adcbad318c3a1e222e9eba4ce42,MCB,MCDEX Token,18,ERC20
0x519c1001d550c0a1dae7d1fc220f7d14c2a521bb,PSWAP,Polkaswap,18,ERC20
0x6a445e9f40e0b97c92d0b8a3366cef1d67f700bf,FIDU,Fidu,18,ERC20
0x88800092ff476844f74dc2fc427974bbee2794ae,WALLET,Ambire Wallet,18,ERC20
0x68bbed6a47194eff1cf514b50ea91895597fc91e,ANDY,Andy,18,ERC20
0x41ea5d41eeacc2d5c4072260945118a13bb7ebce,CRE,CRESO,18,ERC20
0x090185f2135308bad17527004364ebcc2d37e5f6,SPELL,Spell Token,18,ERC20
0x370a366f402e2e41cdbbe54ecec12aae0cce1955,TOAD,TOAD KILLER,18,ERC20
0x4104b135dbc9609fc1a9490e61369036497660c8,APW,APWine Token,18,ERC20
0xbbbbbbb5aa847a2003fbc6b5c16df0bd1e725f61,BPRO,B.Protocol,18,ERC20
0xdbdb4d16eda451d0503b854cf79d55697f90c8df,ALCX,Alchemix,18,ERC20
0x33349b282065b0284d756f0577fb39c158f935e6,MPL,Maple Token,18,ERC20
0x8290333cef9e6d528dd5618fb97a76f268f3edd4,ANKR,Ankr Network,18,ERC20
0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,AXS,Axie Infinity Shard,18,ERC20
0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,crvUSD,Curve.Fi USD Stablecoin,18,ERC20
0xfe2e637202056d30016725477c5da089ab0a043a,sETH2,StakeWise Staked ETH2,18,ERC20
0x3d000462fb9826804a45c0ea869b83b69587f2db,CMPT,SpatialComputing,18,ERC20
0x8881562783028f5c1bcb985d2283d5e170d88888,SHFL,Shuffle,18,ERC20
0xeaa63125dd63f10874f99cdbbb18410e7fc79dd3,HEMULE,Hemule,18,ERC20
0x183395dbd0b5e93323a7286d1973150697fffcb3,cvxFXN,Convex FXN,18,ERC20
0x26607ac599266b21d13c7acf7942c7701a8b699c,PIPT,Power Index Pool Token,18,ERC20
0x27702a26126e0b3702af63ee09ac4d1a084ef628,ALEPH,aleph.im v2,18,ERC20
0x36e66fbbce51e4cd5bd3c62b637eb411b18949d4,OMNI,Omni Network,18,ERC20
0x0240e59e6ae33b58db7360f7c693429eab7d4ac3,BTC,BTC,18,ERC20
0xe76c6c83af64e4c60245d8c7de953df673a7a33d,RAIL,Rail,18,ERC20
0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,GHO,Gho Token,18,ERC20
0x72e364f2abdc788b7e918bc238b21f109cd634d7,MVI,Metaverse Index,18,ERC20
0xa21af1050f7b26e0cff45ee51548254c41ed6b5c,OSAK,Osaka Protocol,18,ERC20
0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,LUNC,Wrapped LUNA Token,18,ERC20
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,USDe,USDe,18,ERC20
0xf19308f923582a6f7c465e5ce7a9dc1bec6665b1,TITANX,TITAN X,18,ERC20
0x0de05f6447ab4d22c8827449ee4ba2d5c288379b,OOKI,Ooki Token,18,ERC20
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,wstETH,Wrapped liquid staked Ether 2.0,18,ERC20
0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,TRIBE,Tribe,18,ERC20
0xdab396ccf3d84cf2d07c4454e10c8a6f5b008d2b,GFI,Goldfinch,18,ERC20
0xe75f2acafba1ad56c5ed712ffbc1d31910e74396,KAI,Komputai,18,ERC20
0x42476f744292107e34519f9c357927074ea3f75d,LOOM,Loom Token,18,ERC20
